app_id,app_roles,deletion_timestamp,group_membership_claims,id,identifier_uris,informational_urls,is_device_only_auth_supported,key_credentials,known_client_applications,logout_url,name,oauth2_permissions,object_type,optional_claims,password_credentials,pre_authorized_applications,public_client,publisher_domain,required_resource_access,sign_in_audience,www_homepage
806c3ffa-b487-4601-8c4b-8013d91738ca,[],null,null,00162148-5bc9-4057-bb4d-33652b0452d1,"[""https://sisportal-Dev-300940.campusnexus.cloud/CMCPortal/""]","{""logoUrl"":null,""marketingUrl"":null,""privacyStatementUrl"":null,""supportUrl"":null,""termsOfServiceUrl"":null}",null,[],[],null,300940-Dev.Cmc.Portal,"[{""adminConsentDescription"":""Allow the application to access 300940-Dev.Cmc.Portal on behalf of the signed-in user."",""adminConsentDisplayName"":""Access 300940-Dev.Cmc.Portal"",""id"":""b191f6c2-5e4e-458a-973b-8cc8f3268ab2"",""isEnabled"":true,""type"":""User"",""userConsentDescription"":""Allow the application to access 300940-Dev.Cmc.Portal on your behalf."",""userConsentDisplayName"":""Access 300940-Dev.Cmc.Portal"",""value"":""user_impersonation""}]",Application,null,[],[],"{""redirectUris"":[]}",WesternGovernorsUniversity.onmicrosoft.com,"[{""resourceAccess"":[{""id"":""e1fe6dd8-ba31-4d61-89e7-88639da4683d"",""type"":""Scope""}],""resourceAppId"":""00000003-0000-0000-c000-000000000000""},{""resourceAccess"":[{""id"":""311a71cc-e848-46a1-bdf8-97ff7156d8e6"",""type"":""Scope""}],""resourceAppId"":""00000002-0000-0000-c000-000000000000""}]",AzureADMyOrg,https://sisportal-Dev-300940.campusnexus.cloud/CMCPortal/
d85be0ae-8335-412b-83ac-79c115dc6982,[],null,null,0028a641-bec3-47bf-8abc-dd2517fbde80,[],"{""logoUrl"":null,""marketingUrl"":null,""privacyStatementUrl"":null,""supportUrl"":null,""termsOfServiceUrl"":null}",null,[],[],null,Copilot 1 (Power Virtual Agents),[],Application,null,[],[],"{""redirectUris"":[]}",WesternGovernorsUniversity.onmicrosoft.com,[],AzureADMultipleOrgs,null
1daac407-0bde-4a85-941b-a317669675ae,[],null,null,0142ac26-d39b-4f9c-b3ce-e6781f6c0681,[],"{""logoUrl"":null,""marketingUrl"":null,""privacyStatementUrl"":null,""supportUrl"":null,""termsOfServiceUrl"":null}",null,[],[],null,Bot 1 (Power Virtual Agents),[],Application,null,[],[],"{""redirectUris"":[]}",WesternGovernorsUniversity.onmicrosoft.com,[],AzureADMultipleOrgs,null
78154637-3156-45ba-9ea6-3354faa3f44d,"[{""allowedMemberTypes"":[""User""],""description"":""User"",""displayName"":""User"",""id"":""18d14569-c3bd-439b-9a66-3a2aee01d14f"",""isEnabled"":true,""origin"":""Application"",""value"":null},{""allowedMemberTypes"":[""User""],""description"":""msiam_access"",""displayName"":""msiam_access"",""id"":""b9632174-c057-4f7e-951b-be3adc52bfe6"",""isEnabled"":true,""origin"":""Application"",""value"":null}]",null,SecurityGroup,01b028cb-2c6d-4e9b-97f9-7651220769c4,"[""https://infobloxgm701.wgu.edu:8765/metadata""]","{""logoUrl"":null,""marketingUrl"":null,""privacyStatementUrl"":null,""supportUrl"":null,""termsOfServiceUrl"":null}",null,[],[],null,Infoblox DDI,"[{""adminConsentDescription"":""Allow the application to access Infoblox DDI on behalf of the signed-in user."",""adminConsentDisplayName"":""Access Infoblox DDI"",""id"":""88ffa1b7-0964-4635-a8c6-6824d626e8a4"",""isEnabled"":true,""type"":""User"",""userConsentDescription"":""Allow the application to access Infoblox DDI on your behalf."",""userConsentDisplayName"":""Access Infoblox DDI"",""value"":""user_impersonation""}]",Application,"{""accessToken"":[],""idToken"":[],""saml2Token"":[{""additionalProperties"":[""sam_account_name""],""essential"":false,""name"":""groups"",""source"":null}]}",[],[],"{""redirectUris"":[]}",WesternGovernorsUniversity.onmicrosoft.com,[],AzureADMyOrg,https://account.activedirectory.windowsazure.com:444/applications/default.aspx?metadata=customappsso|ISV9.1|primary|z
7056d6ea-4a72-4675-8f33-947a369dae48,[],null,null,01c691cf-6252-484e-a4b0-eb7d7480cbc0,[],"{""logoUrl"":null,""marketingUrl"":null,""privacyStatementUrl"":null,""supportUrl"":null,""termsOfServiceUrl"":null}",null,[],[],null,D365 Sales Agent - Stakeholder Research (Microsoft Copilot Studio),[],Application,null,[],[],"{""redirectUris"":[]}",WesternGovernorsUniversity.onmicrosoft.com,[],AzureADMyOrg,null
753c1a07-9781-49f4-b825-0ef35c4a6ea4,[],null,null,02b6940d-2cf1-4181-9edf-a43a386d43a6,[],"{""logoUrl"":null,""marketingUrl"":null,""privacyStatementUrl"":null,""supportUrl"":null,""termsOfServiceUrl"":null}",null,[],[],null,CS Case Followup and Closure (Microsoft Copilot Studio),[],Application,null,[],[],"{""redirectUris"":[]}",WesternGovernorsUniversity.onmicrosoft.com,[],AzureADMyOrg,null
8e400cec-928e-405c-bcb5-705e081ed57b,[],null,null,03fb491c-dea2-453e-b1e8-e26386e408ed,[],"{""logoUrl"":null,""marketingUrl"":null,""privacyStatementUrl"":null,""supportUrl"":null,""termsOfServiceUrl"":null}",null,[],[],null,D365 Sales Agent - Research (Microsoft Copilot Studio),[],Application,null,[],[],"{""redirectUris"":[]}",WesternGovernorsUniversity.onmicrosoft.com,[],AzureADMyOrg,null
69363015-61db-4951-90a3-6dedb81fa9a7,[],null,null,04345269-b4c6-4bec-8289-783ae243bd25,[],"{""logoUrl"":null,""marketingUrl"":null,""privacyStatementUrl"":null,""supportUrl"":null,""termsOfServiceUrl"":null}",null,[],[],null,D365 Sales Agent - Summary Synthesizer (Microsoft Copilot Studio),[],Application,null,[],[],"{""redirectUris"":[]}",WesternGovernorsUniversity.onmicrosoft.com,[],AzureADMyOrg,null
f640b05a-f9d9-4b5b-9db0-fe202f9efad5,"[{""allowedMemberTypes"":[""User""],""description"":""Onbase Application Admins"",""displayName"":""Rubrik Onbase"",""id"":""a53d026f-6cf2-4c14-b781-cbf44dbac480"",""isEnabled"":true,""origin"":""Application"",""value"":""onbaserubrik""},{""allowedMemberTypes"":[""User""],""description"":""Banner Application Admins"",""displayName"":""Rubrik Banner"",""id"":""043f2283-8364-4670-a8a0-638254c911c7"",""isEnabled"":true,""origin"":""Application"",""value"":""bannerrubrik""},{""allowedMemberTypes"":[""User""],""description"":""msiam_access"",""displayName"":""msiam_access"",""id"":""b9632174-c057-4f7e-951b-be3adc52bfe6"",""isEnabled"":true,""origin"":""Application"",""value"":null},{""allowedMemberTypes"":[""User""],""description"":""User"",""displayName"":""User"",""id"":""18d14569-c3bd-439b-9a66-3a2aee01d14f"",""isEnabled"":true,""origin"":""Application"",""value"":null},{""allowedMemberTypes"":[""User""],""description"":""IO Team Admins"",""displayName"":""IO Server Admins"",""id"":""7b4c0c6a-f57f-4790-bcbf-551c169c69e5"",""isEnabled"":true,""origin"":""Application"",""value"":""ioserveradmins""},{""allowedMemberTypes"":[""User""],""description"":""DBA Team"",""displayName"":""DBA Team"",""id"":""aa594174-8dc5-49a9-ac13-d5201b8bf5bf"",""isEnabled"":true,""origin"":""Application"",""value"":""dbateam""},{""allowedMemberTypes"":[""User""],""description"":""Rubrik Read-Only"",""displayName"":""Read-Only"",""id"":""0b17e37f-cd99-4c34-8a4b-b71ecbb36a86"",""isEnabled"":true,""origin"":""Application"",""value"":""rubrikreadonly""},{""allowedMemberTypes"":[""User""],""description"":""Collab/M365 Team"",""displayName"":""M365 Admins"",""id"":""afae4674-4f7c-45b2-af05-996d4bfdd806"",""isEnabled"":true,""origin"":""Application"",""value"":""m365rubrik""},{""allowedMemberTypes"":[""User""],""description"":""Infrastructure Leadership"",""displayName"":""Infra Leadership"",""id"":""fd3b1e84-ab6d-418f-b780-2f034330cc22"",""isEnabled"":true,""origin"":""Application"",""value"":""infraleaders""},{""allowedMemberTypes"":[""User""],""description"":""AWS Rubrik Admins"",""displayName"":""Rubrik AWS"",""id"":""2bf5e697-fb8e-4909-893d-692153588676"",""isEnabled"":true,""origin"":""Application"",""value"":""awsrubrik""},{""allowedMemberTypes"":[""User""],""description"":""Azure Rubrik Admins"",""displayName"":""Rubrik Azure"",""id"":""136fc54c-06f4-436f-a815-bd7eea742dde"",""isEnabled"":true,""origin"":""Application"",""value"":""azurerubrik""},{""allowedMemberTypes"":[""User""],""description"":""Security Operations"",""displayName"":""Rubrik Secops"",""id"":""cff0ff4d-83d7-435a-960e-a07a8d63af8a"",""isEnabled"":true,""origin"":""Application"",""value"":""secopsrubrik""},{""allowedMemberTypes"":[""User""],""description"":""Access to all protected workloads without admin privledges "",""displayName"":""Global Users"",""id"":""623c6038-faf8-485f-bf91-8056b343e272"",""isEnabled"":true,""origin"":""Application"",""value"":""rubrikglobalusers""}]",null,null,049f13cc-6ac0-4077-9597-f8fe1699095e,"[""https://d3b7c89e-7fa7-4b71-851d-d94707be1edb.my.rubrik.com""]","{""logoUrl"":null,""marketingUrl"":null,""privacyStatementUrl"":null,""supportUrl"":null,""termsOfServiceUrl"":null}",null,[],[],null,WGU-Rubrik,"[{""adminConsentDescription"":""Allow the application to access WGU-Rubrik on behalf of the signed-in user."",""adminConsentDisplayName"":""Access WGU-Rubrik"",""id"":""3d78d397-2fa9-43f0-8503-86d9e7cf3f6c"",""isEnabled"":true,""type"":""User"",""userConsentDescription"":""Allow the application to access WGU-Rubrik on your behalf."",""userConsentDisplayName"":""Access WGU-Rubrik"",""value"":""user_impersonation""}]",Application,null,[],[],"{""redirectUris"":[]}",WesternGovernorsUniversity.onmicrosoft.com,[],AzureADMyOrg,https://account.activedirectory.windowsazure.com:444/applications/default.aspx?metadata=customappsso|ISV9.1|primary|z
28d72596-e8ab-48bb-9dc4-1b209b764d58,[],null,null,04e5de1a-da52-4619-8d00-492ccaaebdf7,"[""http://TerraformTesting""]","{""logoUrl"":null,""marketingUrl"":null,""privacyStatementUrl"":null,""supportUrl"":null,""termsOfServiceUrl"":null}",null,[],[],null,TerraformTesting,"[{""adminConsentDescription"":""Allow the application to access TerraformTesting on behalf of the signed-in user."",""adminConsentDisplayName"":""Access TerraformTesting"",""id"":""4678d2cf-3ea6-4884-a7dd-e60ec3aad8ee"",""isEnabled"":true,""type"":""User"",""userConsentDescription"":""Allow the application to access TerraformTesting on your behalf."",""userConsentDisplayName"":""Access TerraformTesting"",""value"":""user_impersonation""}]",Application,null,"[{""customKeyIdentifier"":""//5yAGIAYQBjAA=="",""displayName"":null,""endDateTime"":""2022-03-25T00:43:56.895724Z"",""hint"":null,""keyId"":""fa232592-d1ad-4364-bd10-d8cc2cc8e925"",""secretText"":null,""startDateTime"":""2021-03-25T00:43:56.895724Z""}]",[],"{""redirectUris"":[]}",WesternGovernorsUniversity.onmicrosoft.com,[],AzureADMyOrg,https://TerraformTesting
